,year,age,total_pop,total_suicides,suicide_rate,gdp,
1,1989,15-24 years,19724600,3209,16.26902447,3740,
7,1990,15-24 years,19709400,3515,17.83412991,3789,
13,1991,15-24 years,19810000,3626,18.30388693,3773,
19,1992,15-24 years,20026600,4151,20.72743251,3333,
25,1993,15-24 years,20130500,5132,25.49365391,3160,
31,1994,15-24 years,20555300,6092,29.63712522,2853,
37,1995,15-24 years,20931500,6736,32.18116236,2844,
43,1996,15-24 years,21181100,6688,31.57531951,2813,
49,1997,15-24 years,21430600,6725,31.38036266,2907,
55,1998,15-24 years,21793300,6656,30.5414967,1948,
61,1999,15-24 years,22190500,7200,32.44631712,1412,
67,2000,15-24 years,22513627,7593,33.72624056,1879,
73,2001,15-24 years,22817806,8010,35.10416383,2229,
79,2002,15-24 years,23139972,7721,33.36650537,2527,
85,2003,15-24 years,24198228,7103,29.35338902,3141,
91,2004,15-24 years,24514289,6883,28.07750206,4312,
97,2005,15-24 years,24369477,6654,27.30464835,5611,
103,2006,15-24 years,23994175,6188,25.78959268,7313,
109,2007,15-24 years,23364831,6206,26.56128777,9643,
115,2008,15-24 years,22402187,5779,25.79658852,12359,
121,2009,15-24 years,21292644,5471,25.6943196,9118,
127,2010,15-24 years,20787998,4697,22.59476839,11307,
133,2011,15-24 years,19794609,4309,21.76855325,15226,
139,2012,15-24 years,18615596,3902,20.96091901,16413,
145,2013,15-24 years,17463609,3281,18.78764006,17052,
151,2014,15-24 years,17463609,2778,15.90736485,15319,
157,2015,15-24 years,15648880,2306,14.73587886,9987,
163,2017,15-24 years,288993478,1781,0.616276884,10720.33266,
169,2018,15-24 years,288955718,1765,0.610820236,11287.35528,
175,2019,15-24 years,288812522,1732,0.59969699,11497.64925,
2,1989,25-34 years,25218800,7683,30.46536711,3740,
8,1990,25-34 years,24675500,7778,31.52114446,3789,
14,1991,25-34 years,24058700,7789,32.37498285,3773,
20,1992,25-34 years,23334600,8948,38.34648976,3333,
26,1993,25-34 years,22324200,10482,46.95353025,3160,
32,1994,25-34 years,21655900,11508,53.14025277,2853,
38,1995,25-34 years,21076600,10966,52.02926468,2844,
44,1996,25-34 years,20506000,10341,50.42914269,2813,
50,1997,25-34 years,20075900,9272,46.18472895,2907,
56,1998,25-34 years,19789800,8536,43.13333131,1948,
62,1999,25-34 years,19638700,9142,46.55094278,1412,
68,2000,25-34 years,19673570,9681,49.20815083,1879,
74,2001,25-34 years,19811335,9973,50.33986857,2229,
80,2002,25-34 years,19994942,9782,48.92237247,2527,
86,2003,25-34 years,20518145,9135,44.52156859,3141,
92,2004,25-34 years,20956185,8997,42.9324326,4312,
98,2005,25-34 years,21218553,8788,41.41658482,5611,
104,2006,25-34 years,21475735,8558,39.84962564,7313,
110,2007,25-34 years,21787523,8534,39.16920707,9643,
116,2008,25-34 years,22270500,7841,35.2080106,12359,
122,2009,25-34 years,22814566,8219,36.02523055,9118,
128,2010,25-34 years,22872066,7401,32.3582487,11307,
134,2011,25-34 years,23236367,6854,29.49686584,15226,
140,2012,25-34 years,23673156,6628,27.99795684,16413,
146,2013,25-34 years,24042371,6628,27.56799652,17052,
152,2014,25-34 years,24042371,5999,24.951782,15319,
158,2015,25-34 years,24671897,5724,23.20048596,9987,
164,2017,25-34 years,288993478,1987,0.687558769,10720.33266,
170,2018,25-34 years,288955718,1931,0.668268485,11287.35528,
176,2019,25-34 years,288812522,1890,0.654403759,11497.64925,
3,1989,35-54 years,37375200,14356,38.4104968,3740,
9,1990,35-54 years,38225500,14984,39.19896404,3789,
15,1991,35-54 years,38770100,15175,39.14098751,3773,
21,1992,35-54 years,39026700,18592,47.63918036,3333,
27,1993,35-54 years,38920400,23419,60.17152958,3160,
33,1994,35-54 years,39168500,25595,65.34587743,2853,
39,1995,35-54 years,39588900,25034,63.23489665,2844,
45,1996,35-54 years,40125900,23515,58.60304691,2813,
51,1997,35-54 years,40960900,21792,53.20195601,2907,
57,1998,35-54 years,42182900,20773,49.24507324,1948,
63,1999,35-54 years,43354200,23833,54.97275927,1412,
