"","year","age","total_pop","total_suicides","suicide_rate","gdp"
"1",1985,"15-24 years",39551000,5121,12.9478394983692,19693
"2",1985,"25-34 years",42027000,6376,15.1711994670093,19693
"3",1985,"35-54 years",54352000,8158,15.009567265234,19693
"4",1985,"5-14 years",33923000,278,0.819502992070277,19693
"5",1985,"55-74 years",39337000,6870,17.4644736507614,19693
"6",1985,"75+ years",11533000,2643,22.9168473077257,19693
"7",1986,"15-24 years",39028000,5120,13.1187865122476,20588
"8",1986,"25-34 years",42784000,6711,15.685770381451,20588
"9",1986,"35-54 years",55883000,8749,15.6559239840381,20588
"10",1986,"5-14 years",33855000,255,0.753212228622065,20588
"11",1986,"55-74 years",39556000,7196,18.191930427748,20588
"12",1986,"75+ years",11847000,2861,24.1495737317464,20588
"13",1987,"15-24 years",38252000,4924,12.872529540939,21631
"14",1987,"25-34 years",43315000,6655,15.364192542999,21631
"15",1987,"35-54 years",57581000,8839,15.3505496604783,21631
"16",1987,"5-14 years",34146000,251,0.735078779359222,21631
"17",1987,"55-74 years",39687000,7078,17.8345553959735,21631
"18",1987,"75+ years",12167000,3036,24.9527410207939,21631
"19",1988,"15-24 years",37398000,4929,13.1798491897962,23103
"20",1988,"25-34 years",43675000,6710,15.3634802518603,23103
"21",1988,"35-54 years",59428000,8737,14.7018240560005,23103
"22",1988,"5-14 years",34655000,243,0.701197518395614,23103
"23",1988,"55-74 years",39726000,6702,16.8705633590092,23103
"24",1988,"75+ years",12471000,3067,24.593055889664,23103
"25",1989,"15-24 years",36514000,4870,13.3373500575122,24654
"26",1989,"25-34 years",43835000,6565,14.9766168586746,24654
"27",1989,"35-54 years",61399000,8973,14.6142445316699,24654
"28",1989,"5-14 years",35161000,240,0.68257444327522,24654
"29",1989,"55-74 years",39775000,6617,16.6360779384035,24654
"30",1989,"75+ years",12803000,2953,23.064906662501,24654
"31",1990,"15-24 years",37013300,4869,13.1547308670127,26004
"32",1990,"25-34 years",43160700,6550,15.1758428385082,26004
"33",1990,"35-54 years",62491500,9435,15.0980533352536,26004
"34",1990,"5-14 years",35095200,264,0.75223962251248,26004
"35",1990,"55-74 years",39158200,6613,16.8879059813781,26004
"36",1990,"75+ years",13033300,3164,24.2762769214244,26004
"37",1991,"15-24 years",36399000,4751,13.0525563889118,26503
"38",1991,"25-34 years",42877000,6514,15.1922942370035,26503
"39",1991,"35-54 years",65012000,9750,14.997231280379,26503
"40",1991,"5-14 years",35908000,266,0.740781998440459,26503
"41",1991,"55-74 years",39285000,6325,16.1002927325951,26503
"42",1991,"75+ years",13474000,3184,23.6306961555589,26503
"43",1992,"15-24 years",36146700,4693,12.9832045525594,27760
"44",1992,"25-34 years",42444800,6172,14.5412394451146,27760
"45",1992,"35-54 years",67322000,10027,14.894091084638,27760
"46",1992,"5-14 years",36451500,314,0.861418597314239,27760
"47",1992,"55-74 years",39385800,6143,15.5969918092307,27760
"48",1992,"75+ years",13814800,3122,22.5989518487419,27760
"49",1993,"15-24 years",36029400,4849,13.4584533741889,28891
"50",1993,"25-34 years",41875400,6307,15.0613486677142,28891
"51",1993,"35-54 years",69441400,10338,14.8873726624175,28891
"52",1993,"5-14 years",37050300,321,0.866389745832018,28891
"53",1993,"55-74 years",39561900,6101,15.4214029154313,28891
"54",1993,"75+ years",14133900,3168,22.4141956572496,28891
"55",1994,"15-24 years",35942900,4956,13.7885368181198,30375
"56",1994,"25-34 years",41354200,6354,15.3648238872956,30375
"57",1994,"35-54 years",71529900,10671,14.9182369890074,30375
"58",1994,"5-14 years",37611300,322,0.856125685631712,30375
"59",1994,"55-74 years",39729300,5677,14.2892021757242,30375
"60",1994,"75+ years",14446500,3143,21.7561347039075,30375
"61",1995,"15-24 years",35946600,4784,13.3086300234236,31518
"62",1995,"25-34 years",40873200,6292,15.3939500699725,31518
"63",1995,"35-54 years",73546400,10999,14.9551847541144,31518
"64",1995,"5-14 years",38134500,337,0.88371422202992,31518
"65",1995,"55-74 years",39890300,5764,14.4496281050782,31518
"66",1995,"75+ years",14773200,3096,20.9568678417675,31518
"67",1996,"15-24 years",36221800,4358,12.0314285872044,32928
"68",1996,"25-34 years",40368200,5861,14.5188539493958,32928
"69",1996,"35-54 years",75763000,11578,15.2818658184074,32928
"70",1996,"5-14 years",38422300,302,0.786001879117075,32928
"71",1996,"55-74 years",40030900,5731,14.3164405496754,32928
"72",1996,"75+ years",15191600,3049,20.070302009005,32928
"73",1997,"15-24 years",36579700,4186,11.443505550893,34644
"74",1997,"25-34 years",39609500,5672,14.3197970183921,34644
"75",1997,"35-54 years",77630600,11678,15.0430371528753,34644
"76",1997,"5-14 years",38778100,307,0.791683965949853,34644
"77",1997,"55-74 years",40311500,5609,13.9141436066631,34644
"78",1997,"75+ years",15577000,3065,19.6764460422418,34644
"79",1998,"15-24 years",37213500,4135,11.1115589772529,36164
"80",1998,"25-34 years",38774400,5365,13.8364487909549,36164
"81",1998,"35-54 years",79104800,11968,15.129296831545,36164
"82",1998,"5-14 years",39162600,324,0.827319943006848,36164
"83",1998,"55-74 years",41071300,5560,13.5374336824011,36164
"84",1998,"75+ years",16005900,3206,20.030113895501,36164
"85",1999,"15-24 years",37773512,3901,10.3273426098161,38072
"86",1999,"25-34 years",37935812,5106,13.4595774567841,38072
"87",1999,"35-54 years",80615007,11547,14.3236357964963,38072
"88",1999,"5-14 years",39495230,244,0.617796123734436,38072
"89",1999,"55-74 years",41607333,5367,12.8991685191646,38072
"90",1999,"75+ years",16321777,3018,18.4906337097977,38072
"91",2000,"15-24 years",39183891,3994,10.1929642464553,39218
"92",2000,"25-34 years",39891724,4792,12.0125166814049,39218
"93",2000,"35-54 years",82826479,11999,14.4869130559081,39218
"94",2000,"5-14 years",41077577,307,0.747366379472674,39218
"95",2000,"55-74 years",42665670,5237,12.2745054747763,39218
"96",2000,"75+ years",16600767,3014,18.1557876211382,39218
"97",2001,"15-24 years",39948367,3971,9.94033122805746,40018
"98",2001,"25-34 years",39607306,5070,12.8006686443153,40018
"99",2001,"35-54 years",84206859,12577,14.9358379464077,40018
"100",2001,"5-14 years",41065494,279,0.679402517354351,40018
"101",2001,"55-74 years",43621801,5749,13.1791899192791,40018
"102",2001,"75+ years",16977719,2961,17.4405054059382,40018
"103",2002,"15-24 years",40589783,4010,9.87933342733072,40845
"104",2002,"25-34 years",39928304,5046,12.6376517269554,40845
"105",2002,"35-54 years",85000543,13159,15.4810775738221,40845
"106",2002,"5-14 years",41037286,264,0.643317396769367,40845
"107",2002,"55-74 years",44875941,6081,13.5506907810579,40845
"108",2002,"75+ years",17327702,3085,17.8038611236504,40845
"109",2003,"15-24 years",41206163,3988,9.67816391931469,42468
"110",2003,"25-34 years",39872598,5065,12.7029595613509,42468
"111",2003,"35-54 years",85175193,13083,15.3601060815911,42468
"112",2003,"5-14 years",40968637,250,0.610222888303558,42468
"113",2003,"55-74 years",46236780,6178,13.3616571050147,42468
"114",2003,"75+ years",17582139,2913,16.5679500088129,42468
"115",2004,"15-24 years",41701105,4316,10.349845645577,44867
"116",2004,"25-34 years",40031937,5074,12.674880058889,44867
"117",2004,"35-54 years",85727457,13544,15.7989055945052,44867
"118",2004,"5-14 years",40750728,285,0.699374008729366,44867
"119",2004,"55-74 years",47542396,6290,13.230296596747,44867
"120",2004,"75+ years",17830513,2919,16.3708133355445,44867
"121",2005,"15-24 years",42076849,4212,10.0102552831368,47423
"122",2005,"25-34 years",40142912,4990,12.4305879952107,47423
"123",2005,"35-54 years",86344729,13541,15.6824859569598,47423
"124",2005,"5-14 years",40396536,272,0.673325059356574,47423
"125",2005,"55-74 years",48995354,6554,13.3767785410837,47423
"126",2005,"75+ years",18150300,3060,16.8592254673476,47423
"127",2006,"15-24 years",42435426,4189,9.87146918237607,49666
"128",2006,"25-34 years",40415979,4985,12.3342304784947,49666
