,country,year,age,total_pop,total_suicides,suicide_rate
1,Australia,1985,15-24 years,2659800,384,14.43717573
7,Australia,1986,15-24 years,2684000,373,13.89716841
13,Australia,1987,15-24 years,2713600,427,15.73555425
19,Australia,1988,15-24 years,2736100,419,15.31376777
25,Australia,1989,15-24 years,2749000,404,14.69625318
31,Australia,1990,15-24 years,2760700,438,15.86554135
37,Australia,1991,15-24 years,2760800,438,15.86496668
43,Australia,1992,15-24 years,2756600,460,16.68722339
49,Australia,1993,15-24 years,2746400,382,13.90911739
55,Australia,1994,15-24 years,2732700,432,15.808541
61,Australia,1995,15-24 years,2695900,399,14.80025223
67,Australia,1996,15-24 years,2676000,425,15.8819133
73,Australia,1997,15-24 years,2636351,494,18.73802085
79,Australia,1998,15-24 years,2610989,434,16.62205394
85,Australia,1999,15-24 years,2604091,373,14.32361619
91,Australia,2000,15-24 years,2618294,349,13.32928999
97,Australia,2001,15-24 years,2655157,343,12.91825681
103,Australia,2002,15-24 years,2689297,304,11.30406943
109,Australia,2003,15-24 years,2728178,291,10.66645945
115,Australia,2004,15-24 years,2784934,272,9.766838281
121,Australia,2006,15-24 years,2835481,298,10.50968072
127,Australia,2007,15-24 years,2955943,300,10.1490455
133,Australia,2008,15-24 years,3034079,288,9.492172089
139,Australia,2009,15-24 years,3112175,276,8.868395897
145,Australia,2010,15-24 years,3140512,302,9.616266392
151,Australia,2011,15-24 years,3065122,335,10.92941814
157,Australia,2012,15-24 years,3083606,326,10.57203806
163,Australia,2013,15-24 years,3104318,362,11.66117646
169,Australia,2014,15-24 years,3125890,367,11.74065626
175,Australia,2015,15-24 years,3135295,391,12.47091581
181,Australia,2017,15-24 years,3135295,418,12.47091581
187,Australia,2018,15-24 years,3135295,448,12.47091581
193,Australia,2019,15-24 years,3135295,461,12.47091581
199,Australia,2020,15-24 years,3135295,454,12.47091581
2,Australia,1985,25-34 years,2575000,421,16.34951456
8,Australia,1986,25-34 years,2617700,455,17.38167093
14,Australia,1987,25-34 years,2673600,444,16.60682226
20,Australia,1988,25-34 years,2729800,504,18.46289105
26,Australia,1989,25-34 years,2782800,493,17.71596953
32,Australia,1990,25-34 years,2816200,527,18.71315958
38,Australia,1991,25-34 years,2825400,518,18.33368727
44,Australia,1992,25-34 years,2829800,503,17.77510778
50,Australia,1993,25-34 years,2823000,468,16.5781084
56,Australia,1994,25-34 years,2826400,514,18.18567789
62,Australia,1995,25-34 years,2838600,531,18.70640457
68,Australia,1996,25-34 years,2862600,569,19.87703486
74,Australia,1997,25-34 years,2878456,638,22.1646605
80,Australia,1998,25-34 years,2877303,688,23.91128081
86,Australia,1999,25-34 years,2875623,628,21.8387459
92,Australia,2000,25-34 years,2876032,572,19.88851306
98,Australia,2001,25-34 years,2873696,598,20.80943844
104,Australia,2002,25-34 years,2877313,555,19.28882954
110,Australia,2003,25-34 years,2881767,500,17.35046588
116,Australia,2004,25-34 years,2887876,468,16.20568196
122,Australia,2006,25-34 years,2887512,351,12.15579364
128,Australia,2007,25-34 years,2931183,431,14.70396082
134,Australia,2008,25-34 years,3007001,444,14.76554215
140,Australia,2009,25-34 years,3108511,439,14.12251718
146,Australia,2010,25-34 years,3186431,405,12.71014499
152,Australia,2011,25-34 years,3194331,432,13.52395854
158,Australia,2012,25-34 years,3287715,449,13.65690153
164,Australia,2013,25-34 years,3379049,424,12.54790919
170,Australia,2014,25-34 years,3447771,523,15.16922093
176,Australia,2015,25-34 years,3509980,542,15.44168343
182,Australia,2017,25-34 years,3509980,620,15.44168343
188,Australia,2018,25-34 years,3509980,566,15.44168343
194,Australia,2019,25-34 years,3509980,612,15.44168343
