"","age","X","country","year","total_pop","total_suicides","suicide_rate","age_order"
"1","15-24 years",1,"Australia",1985,2659800,384,14.43717573,1
"2","15-24 years",7,"Australia",1986,2684000,373,13.89716841,1
"3","15-24 years",13,"Australia",1987,2713600,427,15.73555425,1
"4","15-24 years",19,"Australia",1988,2736100,419,15.31376777,1
"5","15-24 years",25,"Australia",1989,2749000,404,14.69625318,1
"6","15-24 years",31,"Australia",1990,2760700,438,15.86554135,1
"7","15-24 years",37,"Australia",1991,2760800,438,15.86496668,1
"8","15-24 years",43,"Australia",1992,2756600,460,16.68722339,1
"9","15-24 years",49,"Australia",1993,2746400,382,13.90911739,1
"10","15-24 years",55,"Australia",1994,2732700,432,15.808541,1
"11","15-24 years",61,"Australia",1995,2695900,399,14.80025223,1
"12","15-24 years",67,"Australia",1996,2676000,425,15.8819133,1
"13","15-24 years",73,"Australia",1997,2636351,494,18.73802085,1
"14","15-24 years",79,"Australia",1998,2610989,434,16.62205394,1
"15","15-24 years",85,"Australia",1999,2604091,373,14.32361619,1
"16","15-24 years",91,"Australia",2000,2618294,349,13.32928999,1
"17","15-24 years",97,"Australia",2001,2655157,343,12.91825681,1
"18","15-24 years",103,"Australia",2002,2689297,304,11.30406943,1
"19","15-24 years",109,"Australia",2003,2728178,291,10.66645945,1
"20","15-24 years",115,"Australia",2004,2784934,272,9.766838281,1
"21","15-24 years",121,"Australia",2006,2835481,298,10.50968072,1
"22","15-24 years",127,"Australia",2007,2955943,300,10.1490455,1
"23","15-24 years",133,"Australia",2008,3034079,288,9.492172089,1
"24","15-24 years",139,"Australia",2009,3112175,276,8.868395897,1
"25","15-24 years",145,"Australia",2010,3140512,302,9.616266392,1
"26","15-24 years",151,"Australia",2011,3065122,335,10.92941814,1
"27","15-24 years",157,"Australia",2012,3083606,326,10.57203806,1
"28","15-24 years",163,"Australia",2013,3104318,362,11.66117646,1
"29","15-24 years",169,"Australia",2014,3125890,367,11.74065626,1
"30","15-24 years",175,"Australia",2015,3135295,391,12.47091581,1
"31","15-24 years",181,"Australia",2017,3135295,418,12.47091581,1
"32","15-24 years",187,"Australia",2018,3135295,448,12.47091581,1
"33","15-24 years",193,"Australia",2019,3135295,461,12.47091581,1
"34","15-24 years",199,"Australia",2020,3135295,454,12.47091581,1
"35","15-24 years",1901,"Uruguay",1999,529274,58,10.95840718,1
"36","15-24 years",1907,"Uruguay",2000,525381,75,14.27535446,1
"37","15-24 years",1913,"Uruguay",2001,517991,64,12.35542702,1
"38","15-24 years",1919,"Uruguay",2002,510109,94,18.42743414,1
"39","15-24 years",403,"Italy",1985,9383300,309,3.293084523,1
"40","15-24 years",409,"Italy",1986,9434900,309,3.275074458,1
"41","15-24 years",415,"Italy",1987,9445000,308,3.260984648,1
"42","15-24 years",421,"Italy",1988,9404000,302,3.211399405,1
"43","15-24 years",427,"Italy",1989,9303200,316,3.396680712,1
"44","15-24 years",433,"Italy",1990,9167800,365,3.981325945,1
"45","15-24 years",439,"Italy",1991,8946200,328,3.666361137,1
"46","15-24 years",445,"Italy",1992,8760907,375,4.280378732,1
"47","15-24 years",451,"Italy",1993,8555084,363,4.243091009,1
"48","15-24 years",457,"Italy",1994,8338210,385,4.617297957,1
"49","15-24 years",463,"Italy",1995,8070763,362,4.485325613,1
"50","15-24 years",469,"Italy",1996,7810824,375,4.801029955,1
"51","15-24 years",475,"Italy",1997,7540872,394,5.224859937,1
"52","15-24 years",481,"Italy",1998,7286364,343,4.707423346,1
"53","15-24 years",487,"Italy",1999,7030021,297,4.224738447,1
"54","15-24 years",493,"Italy",2000,6770161,281,4.150565991,1
"55","15-24 years",499,"Italy",2001,6548088,258,3.940081441,1
"56","15-24 years",505,"Italy",2002,6265408,255,4.069966393,1
"57","15-24 years",511,"Italy",2003,6158475,233,3.783404171,1
"58","15-24 years",517,"Italy",2004,6034603,210,3.47993066,1
"59","15-24 years",523,"Italy",2005,5967372,211,3.535894863,1
"60","15-24 years",529,"Italy",2006,6061483,186,3.068555995,1
