,year,age,total_pop,total_suicides,suicide_rate,gdp
186,2017,75+ years,49188404,223,0.453358885,53934.25018
192,2018,75+ years,49933286,235,0.470627949,57180.7794
198,2019,75+ years,50680434,253,0.499206459,54875.28596
204,2020,75+ years,51310578,260,0.506718127,51692.84275
114,2003,75+ years,1192623,127,10.64879681,25059
138,2008,75+ years,1334673,148,11.08885847,52315
108,2002,75+ years,1153735,137,11.87447724,21474
132,2007,75+ years,1309875,157,11.98587651,43171
126,2006,75+ years,1249986,155,12.40013888,39014
144,2009,75+ years,1359002,178,13.0978468,45128
66,1995,75+ years,867500,116,13.37175793,21902
156,2011,75+ years,1405980,191,13.58483051,66770
90,1999,75+ years,1027654,140,13.6232623,22016
120,2004,75+ years,1215548,166,13.65639201,32454
120,2005,75+ years,1215548,166,13.65639201,32454
84,1998,75+ years,987328,136,13.77455111,22897
174,2014,75+ years,1515840,209,13.78773485,66809
102,2001,75+ years,1114641,154,13.81610761,20860
96,2000,75+ years,1068972,148,13.84507733,23219
150,2010,75+ years,1387410,194,13.98288898,54887
168,2013,75+ years,1474852,208,14.10311001,72856
162,2012,75+ years,1438964,210,14.59383279,72669
180,2015,75+ years,1558134,233,14.95378446,60656
54,1993,75+ years,818200,129,15.7663163,19030
60,1994,75+ years,838800,133,15.85598474,19469
72,1996,75+ years,909300,150,16.49620587,23526
48,1992,75+ years,795700,132,16.58916677,20050
36,1990,75+ years,742500,124,16.7003367,19665
30,1989,75+ years,718700,122,16.97509392,19223
6,1985,75+ years,601900,103,17.11247716,12374
78,1997,75+ years,948333,163,17.18805525,25234
12,1986,75+ years,638700,112,17.53561923,12288
24,1988,75+ years,694500,133,19.15046796,15393
42,1991,75+ years,768500,153,19.90891347,20320
18,1987,75+ years,666000,149,22.37237237,12564
203,2020,55-74 years,51310578,687,1.338905206,51692.84275
197,2019,55-74 years,50680434,730,1.440398083,54875.28596
191,2018,55-74 years,49933286,738,1.477972029,57180.7794
185,2017,55-74 years,49188404,755,1.534914611,53934.25018
119,2004,55-74 years,3463213,362,10.45272122,32454
119,2005,55-74 years,3463213,362,10.45272122,32454
107,2002,55-74 years,3270335,358,10.94689076,21474
113,2003,55-74 years,3379047,375,11.09780361,25059
131,2007,55-74 years,3788638,423,11.16496218,43171
149,2010,55-74 years,4154625,464,11.16827632,54887
155,2011,55-74 years,4243924,484,11.40453976,66770
143,2009,55-74 years,4029872,465,11.53882803,45128
137,2008,55-74 years,3909913,454,11.61151156,52315
125,2006,55-74 years,3570671,424,11.87451882,39014
161,2012,55-74 years,4369159,519,11.87871625,72669
101,2001,55-74 years,3151716,377,11.96173767,20860
95,2000,55-74 years,3071680,368,11.98041463,23219
167,2013,55-74 years,4497970,563,12.51675756,72856
65,1995,55-74 years,2796900,353,12.62111624,21902
179,2015,55-74 years,4748773,609,12.82436537,60656
