"","year","age","total_pop","total_suicides","suicide_rate","gdp"
"1",1985,"15-24 years",8569900,937,10.9336164949416,10765
"2",1985,"25-34 years",8453400,1939,22.9375162656446,10765
"3",1985,"35-54 years",13451500,3817,28.3760175445118,10765
"4",1985,"5-14 years",7482600,35,0.467751850960896,10765
"5",1985,"55-74 years",9727400,3581,36.8135370191418,10765
"6",1985,"75+ years",3697800,2192,59.2784899129212,10765
"7",1986,"15-24 years",8563400,888,10.3697129644767,14940
"8",1986,"25-34 years",8449000,1872,22.1564682210913,14940
"9",1986,"35-54 years",13517300,3984,29.4733415696922,14940
"10",1986,"5-14 years",7839800,41,0.522972524809306,14940
"11",1986,"55-74 years",9704500,3585,36.9416250193209,14940
"12",1986,"75+ years",3563600,2159,60.5848018857335,14940
"13",1987,"15-24 years",8599300,816,9.48914446524717,17999
"14",1987,"25-34 years",8425700,1783,21.1614465266981,17999
"15",1987,"35-54 years",13812300,3979,28.807656943449,17999
"16",1987,"5-14 years",7314900,42,0.574170528647008,17999
"17",1987,"55-74 years",9909300,3320,33.5038801933537,17999
"18",1987,"75+ years",3839300,2221,57.8490870731644,17999
"19",1988,"15-24 years",8574500,784,9.14339028514782,19534
"20",1988,"25-34 years",8449200,1751,20.723855512948,19534
"21",1988,"35-54 years",14009500,3839,27.4028337913559,19534
"22",1988,"5-14 years",7227000,28,0.38743600387436,19534
"23",1988,"55-74 years",9969500,3075,30.8440744270024,19534
"24",1988,"75+ years",3927900,2122,54.0237786094351,19534
"25",1989,"15-24 years",8490900,871,10.2580409615,19558
"26",1989,"25-34 years",8480700,1757,20.717629440966,19558
"27",1989,"35-54 years",14212900,3774,26.5533423861422,19558
"28",1989,"5-14 years",7180600,31,0.431718797872044,19558
"29",1989,"55-74 years",10044700,3129,31.150756120143,19558
"30",1989,"75+ years",4008100,2153,53.7162246450937,19558
"31",1990,"15-24 years",8493600,791,9.31289441461806,23968
"32",1990,"25-34 years",8598300,1706,19.8411313864369,23968
"33",1990,"35-54 years",14445800,3797,26.2844563817857,23968
"34",1990,"5-14 years",7241100,19,0.262391073179489,23968
"35",1990,"55-74 years",10229600,2988,29.2093532493939,23968
"36",1990,"75+ years",3944500,2102,53.2893902902776,23968
"37",1991,"15-24 years",8364000,806,9.63653754184601,23821
"38",1991,"25-34 years",8629200,1712,19.8396143327307,23821
"39",1991,"35-54 years",14686100,3928,26.7463792293393,23821
"40",1991,"5-14 years",7297500,13,0.178143199725934,23821
"41",1991,"55-74 years",10466200,3089,29.514054766773,23821
"42",1991,"75+ years",3839900,1954,50.8867418422355,23821
"43",1992,"15-24 years",8278400,764,9.22883649014302,26136
"44",1992,"25-34 years",8641100,1786,20.668664869056,26136
"45",1992,"35-54 years",14944000,4087,27.3487687366167,26136
"46",1992,"5-14 years",7330700,22,0.300107765970508,26136
"47",1992,"55-74 years",10672600,3058,28.6528118733954,26136
"48",1992,"75+ years",3755500,1927,51.3114099320996,26136
"49",1993,"15-24 years",8182100,966,11.8062600065998,24521
"50",1993,"25-34 years",8656100,1873,21.6379200794815,24521
"51",1993,"35-54 years",15200100,4363,28.7037585279044,24521
"52",1993,"5-14 years",7363400,31,0.421001167938724,24521
"53",1993,"55-74 years",10843600,3083,28.4315172083072,24521
"54",1993,"75+ years",3700100,1935,52.2958838950299,24521
"55",1994,"15-24 years",8087600,834,10.3120826944953,25697
"56",1994,"25-34 years",8655000,1846,21.3287117273252,25697
"57",1994,"35-54 years",15468200,4412,28.5230343543528,25697
"58",1994,"5-14 years",7374100,21,0.284780515588343,25697
"59",1994,"55-74 years",10978900,3158,28.7642660011477,25697
"60",1994,"75+ years",3683300,1770,48.0547335270002,25697
"61",1995,"15-24 years",8025500,803,10.0056071272818,29363
"62",1995,"25-34 years",8656600,1769,20.4352748192131,29363
"63",1995,"35-54 years",15769600,4308,27.3183847402597,29363
"64",1995,"5-14 years",7333900,28,0.381788679965639,29363
"65",1995,"55-74 years",10885700,3069,28.1929503844493,29363
"66",1995,"75+ years",3857200,1842,47.7548480763248,29363
"67",1996,"15-24 years",7942700,684,8.61168116635401,29305
"68",1996,"25-34 years",8673300,1689,19.4735567776971,29305
"69",1996,"35-54 years",16100300,4333,26.9125420023229,29305
"70",1996,"5-14 years",7291900,19,0.260563090552531,29305
"71",1996,"55-74 years",10771700,2803,26.0218906950621,29305
"72",1996,"75+ years",4011700,1751,43.647331555201,29305
"73",1997,"15-24 years",7858900,701,8.91982338495209,26394
"74",1997,"25-34 years",8694300,1568,18.0348044120861,26394
"75",1997,"35-54 years",16368000,4361,26.6434506353861,26394
"76",1997,"5-14 years",7247500,23,0.317350810624353,26394
"77",1997,"55-74 years",10729000,2680,24.9790288004474,26394
"78",1997,"75+ years",4147800,1806,43.5411543468827,26394
"79",1998,"15-24 years",7799300,663,8.50076288897722,27190
"80",1998,"25-34 years",8686700,1452,16.715208306952,27190
"81",1998,"35-54 years",16477200,4113,24.9617653484815,27190
"82",1998,"5-14 years",7608100,19,0.249733836306042,27190
"83",1998,"55-74 years",10660200,2611,24.4929738654059,27190
"84",1998,"75+ years",4049200,1676,41.3908920280549,27190
"85",1999,"15-24 years",7653974,604,7.89132547353832,27118
"86",1999,"25-34 years",8471154,1428,16.8572074123549,27118
"87",1999,"35-54 years",16621482,3983,23.9629655165526,27118
"88",1999,"5-14 years",7498741,30,0.400067157940246,27118
"89",1999,"55-74 years",10616157,2562,24.13302666869,27118
"90",1999,"75+ years",4181885,1661,39.7189305779571,27118
"91",2000,"15-24 years",7649466,608,7.94826723852358,24648
