,country,year,sex,total_pop,total_suicides,suicide_rate,gdp
1,Albania,1987,female,1316900,25,1.898397752,796
2,Albania,1987,male,1392700,48,3.446542687,796
3,Albania,1988,female,1343600,22,1.637392081,769
4,Albania,1988,male,1420700,41,2.885901316,769
5,Albania,1989,female,1363300,15,1.1002714,833
6,Albania,1989,male,1439800,53,3.681066815,833
7,Albania,1992,female,1423200,14,0.983698707,251
8,Albania,1992,male,1399300,33,2.358322018,251
9,Albania,1993,female,1427400,27,1.891551072,437
10,Albania,1993,male,1379900,46,3.333574897,437
11,Albania,1994,female,1445100,15,1.03799045,697
12,Albania,1994,male,1404200,35,2.492522433,697
13,Albania,1995,female,1473800,34,2.306961596,835
14,Albania,1995,male,1429600,54,3.777280358,835
15,Albania,1996,female,1496000,39,2.606951872,1127
16,Albania,1996,male,1444200,50,3.46212436,1127
17,Albania,1997,female,1528900,52,3.401138073,793
18,Albania,1997,male,1448400,118,8.14692074,793
19,Albania,1998,female,1537300,58,3.772848501,899
20,Albania,1998,male,1475400,96,6.506710045,899
21,Albania,1999,female,1543300,48,3.110218363,1127
22,Albania,1999,male,1486400,91,6.122174381,1127
23,Albania,2000,female,1372400,16,1.165840863,1299
24,Albania,2000,male,1423900,38,2.668726736,1299
25,Albania,2001,female,1408730,35,2.484507322,1451
26,Albania,2001,male,1390619,84,6.0404755,1451
27,Albania,2002,female,1418737,42,2.960379549,1573
28,Albania,2002,male,1400102,91,6.499526463,1573
29,Albania,2003,female,1431674,51,3.562263476,2021
30,Albania,2003,male,1412255,73,5.169038169,2021
31,Albania,2004,female,1447609,57,3.93752733,2544
32,Albania,2004,male,1427382,89,6.23519142,2544
33,Albania,2005,female,1399928,0,0,2931
34,Albania,2005,male,1383392,0,0,2931
35,Albania,2006,female,1397509,0,0,3235
36,Albania,2006,male,1382667,0,0,3235
37,Albania,2007,female,1391852,47,3.376795809,3863
38,Albania,2007,male,1378492,77,5.585814063,3863
39,Albania,2008,female,1384673,61,4.405372243,4672
40,Albania,2008,male,1372386,99,7.213713926,4672
41,Albania,2009,female,1378059,0,0,4387
42,Albania,2009,male,1367676,0,0,4387
43,Albania,2010,female,1371628,35,2.551712272,4359
44,Albania,2010,male,1364397,61,4.470839499,4359
45,Antigua and Barbuda,1985,female,32292,0,0,3850
46,Antigua and Barbuda,1985,male,30282,0,0,3850
47,Antigua and Barbuda,1986,female,31663,0,0,4740
48,Antigua and Barbuda,1986,male,29607,0,0,4740
49,Antigua and Barbuda,1987,female,31185,0,0,5595
50,Antigua and Barbuda,1987,male,29076,0,0,5595
51,Antigua and Barbuda,1988,female,30851,0,0,6693
52,Antigua and Barbuda,1988,male,28713,0,0,6693
53,Antigua and Barbuda,1989,female,30692,0,0,7407
54,Antigua and Barbuda,1989,male,28546,0,0,7407
55,Antigua and Barbuda,1990,female,30729,0,0,7744
56,Antigua and Barbuda,1990,male,28605,1,3.495892327,7744
57,Antigua and Barbuda,1991,female,31236,0,0,7976
58,Antigua and Barbuda,1991,male,29158,0,0,7976
59,Antigua and Barbuda,1992,female,31851,0,0,8087
60,Antigua and Barbuda,1992,male,29890,0,0,8087
61,Antigua and Barbuda,1993,female,32590,0,0,8453
62,Antigua and Barbuda,1993,male,30725,1,3.2546786,8453
