"","year","age","total_pop","total_suicides","suicide_rate","gdp"
"1",1985,"15-24 years",17095100,1630,9.53489596434066,12401
"2",1985,"25-34 years",16787400,2799,16.6732192001144,12401
"3",1985,"35-54 years",35787000,9544,26.6689021152933,12401
"4",1985,"5-14 years",18464500,85,0.460342820005957,12401
"5",1985,"55-74 years",20021800,6306,31.4956697200052,12401
"6",1985,"75+ years",4653400,2893,62.16959642412,12401
"7",1986,"15-24 years",17479000,1943,11.1161965787516,18288
"8",1986,"25-34 years",16248000,2993,18.4207287050714,18288
"9",1986,"35-54 years",36277000,10085,27.7999834605949,18288
"10",1986,"5-14 years",18008000,126,0.699689027099067,18288
"11",1986,"55-74 years",20729000,7048,34.0006753823146,18288
"12",1986,"75+ years",4938000,3289,66.6059133252329,18288
"13",1987,"15-24 years",17924000,1634,9.11626869002455,22137
"14",1987,"25-34 years",15905000,2686,16.8877711411506,22137
"15",1987,"35-54 years",36519000,9184,25.1485528081273,22137
"16",1987,"5-14 years",17482000,69,0.394691682873813,22137
"17",1987,"55-74 years",21374000,6926,32.4038551511182,22137
"18",1987,"75+ years",5212000,3164,60.7060629316961,22137
"19",1988,"15-24 years",18350000,1556,8.47956403269755,26687
"20",1988,"25-34 years",15707000,2457,15.6427070732794,26687
"21",1988,"35-54 years",36641000,8525,23.2662864004803,26687
"22",1988,"5-14 years",16917000,79,0.466985872199563,26687
"23",1988,"55-74 years",22024000,6704,30.4395205230657,26687
"24",1988,"75+ years",5462000,3355,61.4243866715489,26687
"25",1989,"15-24 years",18692000,1407,7.52728439974321,26389
"26",1989,"25-34 years",15680000,2307,14.7130102040816,26389
"27",1989,"35-54 years",36672000,7467,20.3615837696335,26389
"28",1989,"5-14 years",16364000,63,0.384991444634564,26389
"29",1989,"55-74 years",22628000,6462,28.5575393318013,26389
"30",1989,"75+ years",5730000,3307,57.7137870855148,26389
"31",1990,"15-24 years",18689100,1309,7.00408259359734,26949
"32",1990,"25-34 years",15689500,2160,13.7671691258485,26949
"33",1990,"35-54 years",36621800,7006,19.1306817250927,26949
"34",1990,"5-14 years",15932500,47,0.294994508080967,26949
"35",1990,"55-74 years",23350100,6261,26.8135896634276,26949
"36",1990,"75+ years",5968400,3219,53.9340526774345,26949
"37",1991,"15-24 years",19107000,1333,6.97650075888418,30688
"38",1991,"25-34 years",15495000,2056,13.2687963859309,30688
"39",1991,"35-54 years",36475000,6974,19.1199451679232,30688
"40",1991,"5-14 years",15464000,36,0.232798758406622,30688
"41",1991,"55-74 years",24038000,6340,26.3749063982028,30688
