CountryName,Year,SuicideRate,GDP_PerCapita,Continent
Albania,2000,5.5,1126.683318,Europe
Algeria,2000,4.1,1765.022577,Africa
Angola,2000,7.9,556.8363181,Africa
Antigua and Barbuda,2000,2,10920.84269,North America
Argentina,2000,9.5,7708.100996,South America
Armenia,2000,3.3,622.7421391,Europe
Australia,2000,13.2,21679.24784,Oceania
Austria,2000,20,24564.45829,Europe
Azerbaijan,2000,2.2,655.0974326,Europe
Bahrain,2000,6.7,13636.40824,Asia
Bangladesh,2000,6.7,418.0689683,Asia
Barbados,2000,2.1,11496.6024,North America
Belarus,2000,43.1,1276.288034,Europe
Belgium,2000,22.7,23207.40591,Europe
Belize,2000,5.5,3364.423711,North America
Benin,2000,9.5,374.1923942,Africa
Bhutan,2000,12.4,743.0501339,Asia
Bosnia and Herzegovina,2000,10.7,1467.776477,Europe
Botswana,2000,11.8,3522.308678,Africa
Brazil,2000,4.8,3749.75325,South America
Brunei Darussalam,2000,2.8,18012.55626,Asia
Bulgaria,2000,18.5,1609.882452,Europe
Burkina Faso,2000,8.2,226.4759814,Africa
Burundi,2000,7.1,136.4639708,Africa
Cabo Verde,2000,9.4,1259.323656,Africa
Cambodia,2000,5.6,302.5771636,Asia
Cameroon,2000,13.3,649.9918454,Africa
Canada,2000,13,24190.24962,North America
Central African Republic,2000,8.8,251.2068774,Africa
Chad,2000,8,165.7629866,Africa
Chile,2000,10.9,5074.901624,South America
China,2000,13.2,959.3724836,Asia
Colombia,2000,7.6,2520.480898,South America
Comoros,2000,5.1,645.8186908,Africa
Costa Rica,2000,7.3,3772.870012,North America
Croatia,2000,21.3,4873.053306,Europe
Cuba,2000,17.4,2747.098575,North America
Cyprus,2000,2.2,14388.3467,Europe
Denmark,2000,16,30743.54768,Europe
Djibouti,2000,5.8,768.1760767,Africa
Dominican Republic,2000,9.1,2869.105861,North America
Ecuador,2000,6.1,1445.279324,South America
El Salvador,2000,13.4,2001.538009,North America
Equatorial Guinea,2000,15.5,1725.554738,Africa
Estonia,2000,29.5,4070.032827,Europe
Eswatini,2000,11.6,1728.70534,Africa
Ethiopia,2000,8,124.4608003,Africa
Fiji,2000,4.3,2076.568784,Oceania
Finland,2000,24.6,24253.25042,Europe
France,2000,22.3,22364.02939,Europe
Gabon,2000,6.7,4125.716664,Africa
Georgia,2000,6,749.8961143,Europe
Germany,2000,14.7,23718.7467,Europe
Ghana,2000,4,258.4709595,Africa
Greece,2000,3.4,12042.95373,Europe
Grenada,2000,1.9,5057.173965,North America
Guatemala,2000,3.2,1655.58773,North America
Guinea,2000,6.3,363.482479,Africa
Guinea-Bissau,2000,5,308.1441193,Africa
Guyana,2000,23.4,954.4041525,South America
Haiti,2000,8.7,467.1475588,North America
Honduras,2000,2.3,1080.462129,North America
Hungary,2000,32.5,4633.312923,Europe
Iceland,2000,16.2,32018.06325,Europe
India,2000,17.4,443.314204,Asia
Indonesia,2000,3.9,780.190201,Asia
Iraq,2000,2.7,,Asia
Ireland,2000,12.4,26241.36461,Europe
Israel,2000,7.5,21027.78173,Asia
Italy,2000,7.8,20051.24215,Europe
Jamaica,2000,2.3,3384.694861,North America
Japan,2000,24.7,38532.04088,Asia
Jordan,2000,3.4,1651.622443,Asia
Kazakhstan,2000,34,1229.000958,Asia
Kenya,2000,4.4,397.4826588,Africa
Kiribati,2000,13.7,796.8881748,Oceania
Kuwait,2000,2,18439.90039,Asia
Latvia,2000,34.7,3352.731296,Europe
Lebanon,2000,3,4491.637259,Asia
Lesotho,2000,18,436.488352,Africa
Liberia,2000,5.7,306.8328947,Africa
Libya,2000,5.3,7142.774452,Africa
Lithuania,2000,50.7,3297.354701,Europe
Luxembourg,2000,16.8,48735.99549,Europe
Madagascar,2000,4.7,245.9390659,Africa
Malawi,2000,6.2,156.3857186,Africa
Malaysia,2000,5.3,4043.662051,Asia
Maldives,2000,4.4,2234.579866,Asia
Mali,2000,5.5,269.8711377,Africa
Malta,2000,6.5,11039.05651,Europe
Mauritania,2000,3.4,491.8427611,Africa
Mauritius,2000,11.1,3929.075493,Africa
Mexico,2000,3.6,7157.8145,North America
Mongolia,2000,17.9,474.2168965,Asia
Montenegro,2000,10.4,1627.072633,Europe
Morocco,2000,6.9,1334.943051,Africa
Mozambique,2000,8.8,283.2254824,Africa
Myanmar,2000,7.3,190.6062319,Asia
Namibia,2000,10.9,2136.440243,Africa
Nepal,2000,15.4,229.4902871,Asia
Netherlands,2000,9.8,26149.41108,Europe
New Zealand,2000,12.9,13641.10272,Oceania
Nicaragua,2000,17.2,1007.501429,North America
Niger,2000,4.6,158.7049748,Africa
Nigeria,2000,10.2,567.930736,Africa
Norway,2000,13.3,38146.71539,Europe
Oman,2000,4.3,8601.25417,Asia
Pakistan,2000,3.4,519.5343268,Asia
Panama,2000,6,4060.324493,North America
Papua New Guinea,2000,7.1,602.1869023,Oceania
Paraguay,2000,10.1,1663.605252,South America
Peru,2000,5.1,1955.588006,South America
Philippines,2000,2.5,1038.90854,Asia
Poland,2000,16.9,4492.739632,Europe
Portugal,2000,7.5,11502.39681,Europe
Qatar,2000,3.4,29976.11704,Asia
Romania,2000,13.2,1659.90764,Europe
Russia,2000,52.6,1771.59783,Europe
Rwanda,2000,15.6,228.6377096,Africa
Samoa,2000,8.3,1542.066736,Oceania
Sao Tome and Principe,2000,2,,Africa
Saudi Arabia,2000,2.8,9171.330145,Asia
Senegal,2000,7.7,604.654066,Africa
Serbia,2000,21,870.1363145,Europe
Seychelles,2000,8.7,7578.851053,Africa
Sierra Leone,2000,11.1,138.6986922,Africa
Singapore,2000,12.4,23852.32703,Asia
Slovenia,2000,32.4,10227.73677,Europe
Solomon Islands,2000,11.2,1054.388246,Oceania
South Africa,2000,11.6,3032.427138,Africa
Spain,2000,8.6,14676.70609,Europe
Sri Lanka,2000,28.8,869.6965166,Asia
Sudan,2000,7.9,366.1728076,Africa
Suriname,2000,23.5,2012.260287,South America
Sweden,2000,15.6,29323.20776,Europe
Switzerland,2000,21.8,37868.32306,Europe
Tajikistan,2000,3,138.4288795,Asia
Thailand,2000,16.2,2007.736363,Asia
Timor-Leste,2000,9.3,497.1314157,Asia
Togo,2000,9.6,302.2063943,Africa
Tonga,2000,3.6,2065.502661,Oceania
Trinidad and Tobago,2000,14.9,6435.164683,North America
Tunisia,2000,3.5,2211.826817,Africa
Turkey,2000,7.2,4316.548908,Asia
Turkmenistan,2000,9.1,643.174726,Asia
Uganda,2000,11.1,261.8689977,Africa
Ukraine,2000,36.9,635.7089635,Europe
United Arab Emirates,2000,3.2,33291.41937,Asia
United Kingdom,2000,9.1,27987.75116,Europe
United States of America,2000,11.3,36334.90878,North America
Uruguay,2000,17.4,6875.021328,South America
Uzbekistan,2000,7.6,558.2268024,Asia
Vanuatu,2000,7.3,1470.572265,Oceania
Zambia,2000,8.1,345.6895544,Africa
Zimbabwe,2000,12.9,563.0577411,Africa
Albania,2005,6.7,2673.787283,Europe
Algeria,2005,3.8,3113.094651,Africa
Angola,2005,7.2,1902.422346,Africa
Antigua and Barbuda,2005,1.2,12547.61304,North America
Argentina,2005,9,5109.851325,South America
Armenia,2005,4.4,1643.753029,Europe
Australia,2005,12.3,33999.24286,Oceania
Austria,2005,17.3,38403.13388,Europe
Azerbaijan,2005,3.2,1578.40239,Europe
Bahrain,2005,7,17959.25933,Asia
Bangladesh,2005,6.3,499.4619402,Asia
Barbados,2005,3.7,14104.14623,North America
Belarus,2005,45.1,3125.810535,Europe
Belgium,2005,21.2,36967.25918,Europe
Belize,2005,4.9,3926.013742,North America
Benin,2005,9.7,601.799977,Africa
Bhutan,2005,12.2,1262.247445,Asia
Bosnia and Herzegovina,2005,9.3,2980.602109,Europe
Botswana,2005,12.6,5520.12472,Africa
Brazil,2005,5.5,4790.437088,South America
Brunei Darussalam,2005,3.3,26105.27903,Asia
Bulgaria,2005,13.4,3869.529455,Europe
Burkina Faso,2005,7.6,406.9988071,Africa
Burundi,2005,8.4,151.6814634,Africa
Cabo Verde,2005,10.1,2099.157484,Africa
Cambodia,2005,5.9,474.1112278,Asia
Cameroon,2005,11.9,1011.880073,Africa
Canada,2005,13.2,36266.18712,North America
Central African Republic,2005,8.8,331.1629242,Africa
Chad,2005,8.5,658.3049578,Africa
Chile,2005,10.6,7598.525121,South America
China,2005,11.7,1753.417829,Asia
Colombia,2005,6.7,3404.190199,South America
Comoros,2005,6.5,1068.600321,Africa
Costa Rica,2005,7.9,4654.824822,North America
Croatia,2005,20.2,10521.03386,Europe
Cuba,2005,13,3786.664793,North America
Cyprus,2005,2.6,24959.26591,Europe
Denmark,2005,16.2,48799.8256,Europe
Djibouti,2005,5.9,904.7297489,Africa
Dominican Republic,2005,8.2,3970.32284,North America
Ecuador,2005,8.9,3002.136867,South America
El Salvador,2005,9.9,2428.569512,North America
Equatorial Guinea,2005,13.7,10963.28936,Africa
Estonia,2005,22.5,10338.31322,Europe
Eswatini,2005,12,3083.826171,Africa
Ethiopia,2005,7.9,162.4327265,Africa
Fiji,2005,3.5,3659.579329,Oceania
Finland,2005,20.4,38969.17163,Europe
France,2005,21.1,34760.18777,Europe
Gabon,2005,6.1,6888.627147,Africa
Georgia,2005,5,1642.775074,Europe
Germany,2005,13.6,34696.62092,Europe
Ghana,2005,4.3,491.9463779,Africa
Greece,2005,3.5,22551.73574,Europe
Grenada,2005,2.7,6644.02496,North America
Guatemala,2005,3.2,2077.83438,North America
Guinea,2005,6.8,322.4156816,Africa
Guinea-Bissau,2005,4.4,436.3020197,Africa
Guyana,2005,24.4,1105.496454,South America
Haiti,2005,9.5,468.7572696,North America
Honduras,2005,2.5,1296.694822,North America
Hungary,2005,26.7,11205.97134,Europe
Iceland,2005,12.2,56658.58959,Europe
India,2005,17.6,714.8610803,Asia
Indonesia,2005,3.8,1263.287321,Asia
Iraq,2005,2.5,1855.522004,Asia
Ireland,2005,11.9,50878.22361,Europe
Israel,2005,7.6,20549.67114,Asia
Italy,2005,7,31959.26295,Europe
Jamaica,2005,1.9,4089.198442,North America
Japan,2005,24.9,37217.64873,Asia
Jordan,2005,3.1,2183.396157,Asia
Kazakhstan,2005,39.4,3771.278957,Asia
Kenya,2005,3.9,511.6164222,Africa
Kiribati,2005,13.9,1214.556667,Oceania
Kuwait,2005,2.3,35590.70407,Asia
Latvia,2005,26.7,7558.742006,Europe
Lebanon,2005,3.1,4573.536073,Asia
Lesotho,2005,18.6,842.8130532,Africa
Liberia,2005,6.8,294.8930368,Africa
Libya,2005,5.6,8163.010778,Africa
Lithuania,2005,43.9,7863.162009,Europe
Luxembourg,2005,14.3,80289.69641,Europe
Madagascar,2005,4.5,274.8197023,Africa
Malawi,2005,4.5,289.5551689,Africa
Malaysia,2005,5.4,5587.02565,Asia
Maldives,2005,3.3,3639.966576,Asia
Mali,2005,4.9,488.8281374,Africa
Malta,2005,5.6,15835.34667,Europe
Mauritania,2005,3.5,722.3230795,Africa
Mauritius,2005,8.8,5282.906022,Africa
Mexico,2005,4.3,8277.671251,North America
Mongolia,2005,17.1,998.8313648,Asia
Montenegro,2005,11.4,3674.617924,Europe
Morocco,2005,5.3,2018.025743,Africa
Mozambique,2005,6.7,376.8846717,Africa
Myanmar,2005,7.7,244.8823499,Asia
Namibia,2005,10.4,3674.002201,Africa
Nepal,2005,12.5,315.80563,Asia
Netherlands,2005,9.9,41979.05585,Europe
New Zealand,2005,13.3,27751.06547,Oceania
Nicaragua,2005,14.4,1162.290113,North America
Niger,2005,4.9,249.9279298,Africa
Nigeria,2005,9.6,1268.383443,Africa
Norway,2005,12.7,66775.3944,Europe
Oman,2005,3.4,12377.06807,Asia
Pakistan,2005,3.5,683.0902351,Asia
Panama,2005,6.3,4916.914994,North America
Papua New Guinea,2005,5.8,749.1863962,Oceania
Paraguay,2005,10.1,1843.633791,South America
Peru,2005,4.6,2729.498682,South America
Philippines,2005,2.6,1193.977291,Asia
Poland,2005,17.7,8021.003655,Europe
Portugal,2005,11.1,18784.9485,Europe
Qatar,2005,3.2,51455.59419,Asia
Romania,2005,12.5,4617.929016,Europe
Russia,2005,51.6,5323.473877,Europe
Rwanda,2005,10.9,303.7407156,Africa
Samoa,2005,6.5,2574.176629,Oceania
Sao Tome and Principe,2005,1.8,866.5074511,Africa
Saudi Arabia,2005,3,13791.44629,Asia
Senegal,2005,8.1,993.9320411,Africa
Serbia,2005,18.8,3720.479155,Europe
Seychelles,2005,9.1,11092.51074,Africa
Sierra Leone,2005,10.4,292.3493252,Africa
Singapore,2005,11.6,29961.26328,Asia
Slovenia,2005,27.1,18169.18091,Europe
Solomon Islands,2005,7.6,880.8129914,Oceania
South Africa,2005,11.8,5383.632556,Africa
Spain,2005,8.1,26510.71745,Europe
Sri Lanka,2005,23.1,1248.698185,Asia
Sudan,2005,8.4,689.209557,Africa
Suriname,2005,26.5,3590.626616,South America
Sweden,2005,16.4,43134.71673,Europe
Switzerland,2005,20.8,54952.67372,Europe
Tajikistan,2005,2.9,340.5830327,Asia
Thailand,2005,12.7,2894.061896,Asia
Timor-Leste,2005,6.2,1822.574955,Asia
Togo,2005,9.9,406.4009505,Africa
Tonga,2005,3.4,2598.2472,Oceania
Trinidad and Tobago,2005,12.3,12327.23317,North America
Tunisia,2005,3.6,3193.206569,Africa
Turkey,2005,7.6,7384.251628,Asia
Turkmenistan,2005,11.7,1704.417531,Asia
Uganda,2005,10.5,325.5903736,Africa
Ukraine,2005,34.5,1826.932206,Europe
United Arab Emirates,2005,3.1,39365.33592,Asia
United Kingdom,2005,8.2,41803.89138,Europe
United States of America,2005,11.9,44114.74778,North America
Uruguay,2005,15.3,5226.937806,South America
Uzbekistan,2005,5.8,546.7768502,Asia
Vanuatu,2005,5.7,1887.226576,Oceania
Zambia,2005,6.5,702.7409406,Africa
Zimbabwe,2005,13.9,476.5553236,Africa
Albania,2010,7.8,4094.358816,Europe
Algeria,2010,3.3,4480.785777,Africa
Angola,2010,5.7,3587.883798,Africa
Antigua and Barbuda,2010,0.3,13092.07382,North America
Argentina,2010,8.7,10385.96443,South America
Armenia,2010,6,3218.372707,Europe
Australia,2010,12.5,52022.1256,Oceania
Austria,2010,16,46858.04327,Europe
Azerbaijan,2010,3.1,5842.805784,Europe
Bahrain,2010,5.2,20722.13729,Asia
Bangladesh,2010,6.4,781.1535936,Asia
Barbados,2010,2.1,16056.01653,North America
Belarus,2010,38.2,6181.399916,Europe
Belgium,2010,21.3,44380.17663,Europe
Belize,2010,4.9,4331.434517,North America
Benin,2010,9.6,757.6959074,Africa
Bhutan,2010,11.1,2312.860096,Asia
Bosnia and Herzegovina,2010,8,4635.517779,Europe
Botswana,2010,11.1,6434.815657,Africa
Brazil,2010,5.7,11286.24302,South America
Brunei Darussalam,2010,3.7,35269.55311,Asia
Bulgaria,2010,12.5,6843.26695,Europe
Burkina Faso,2010,7.5,575.4464527,Africa
Burundi,2010,9,234.2356469,Africa
Cabo Verde,2010,11.1,3378.25486,Africa
Cambodia,2010,5.4,785.5022829,Asia
Cameroon,2010,11.7,1285.261726,Africa
Canada,2010,13,47450.31847,North America
Central African Republic,2010,9.5,487.9453833,Africa
Chad,2010,8.7,891.6988174,Africa
Chile,2010,12.2,12808.03459,South America
China,2010,10.9,4550.453596,Asia
Colombia,2010,7.2,6326.549469,South America
Comoros,2010,6.6,1315.214806,Africa
Costa Rica,2010,8.6,8141.913599,North America
Croatia,2010,18.6,13937.14227,Europe
Cuba,2010,14.4,5730.354775,North America
Cyprus,2010,5.7,30818.47993,Europe
Denmark,2010,12.7,58041.39844,Europe
Djibouti,2010,5.2,1343.26873,Africa
Dominican Republic,2010,8,5568.046676,North America
Ecuador,2010,8.5,4633.590358,South America
El Salvador,2010,10.8,2983.229771,North America
Equatorial Guinea,2010,16.7,17272.00977,Africa
Estonia,2010,18.3,14638.60482,Europe
Eswatini,2010,11.9,4168.505062,Africa
Ethiopia,2010,7.3,341.5541149,Africa
Fiji,2010,4.8,3652.527437,Oceania
Finland,2010,18.9,46202.41516,Europe
France,2010,20.2,40638.334,Europe
Gabon,2010,6.9,8840.730664,Africa
Georgia,2010,6.9,3073.524753,Europe
Germany,2010,13.7,41785.55691,Europe
Ghana,2010,4.7,1298.436952,Africa
Greece,2010,3.3,26917.75898,Europe
Grenada,2010,0.9,7257.756622,North America
Guatemala,2010,2.9,2825.519029,North America
Guinea,2010,6.6,672.4244026,Africa
Guinea-Bissau,2010,4.2,557.6321326,Africa
Guyana,2010,26.8,3033.247725,South America
Haiti,2010,10.2,665.6274195,North America
Honduras,2010,2.5,1891.157395,North America
Hungary,2010,26,13092.23376,Europe
Iceland,2010,13.3,43024.92384,Europe
India,2010,16.5,1357.563701,Asia
Indonesia,2010,3.6,3122.362815,Asia
Iraq,2010,2.8,4657.280426,Asia
Ireland,2010,12,48715.17686,Europe
Israel,2010,7.3,30659.12775,Asia
Italy,2010,7.5,35849.3732,Europe
Jamaica,2010,2,4696.841894,North America
Japan,2010,24.4,44507.67639,Asia
Jordan,2010,2.8,3656.453675,Asia
Kazakhstan,2010,32.7,9070.488253,Asia
Kenya,2010,3.1,951.6879611,Africa
Kiribati,2010,14.5,1516.811869,Oceania
Kuwait,2010,1.9,38577.38166,Asia
Latvia,2010,22.7,11326.21947,Europe
Lebanon,2010,3.2,7756.744069,Asia
Lesotho,2010,20.1,1183.42153,Africa
Liberia,2010,6.5,513.4456986,Africa
Libya,2010,5.4,12064.78069,Africa
Lithuania,2010,37.3,11984.86857,Europe
Luxembourg,2010,12.9,104965.3061,Europe
Madagascar,2010,4.3,412.7309341,Africa
Malawi,2010,3.8,478.6685897,Africa
Malaysia,2010,5.1,9040.566251,Asia
Maldives,2010,3.2,7076.662423,Asia
Mali,2010,4.8,709.5819646,Africa
Malta,2010,8,21087.79469,Europe
Mauritania,2010,3.9,1241.428756,Africa
Mauritius,2010,8.1,8000.376432,Africa
Mexico,2010,4.6,9271.398233,North America
Mongolia,2010,16.6,2643.292914,Asia
Montenegro,2010,10.4,6682.281158,Europe
