,year,continent,total_pop,total_suicides,suicide_rate
1,1985,Africa,940700,112,11.90602743
7,1986,Africa,955500,29,3.035060178
13,1987,Africa,969600,143,14.74834983
19,1988,Africa,925000,167,18.05405405
25,1989,Africa,932900,144,15.43573802
31,1990,Africa,941100,147,15.62001913
37,1991,Africa,938100,137,14.60398678
43,1992,Africa,948300,146,15.39597174
49,1993,Africa,958300,138,14.40050089
55,1994,Africa,972800,129,13.26069079
61,1995,Africa,981900,147,14.97097464
67,1996,Africa,38768652,296,0.763503462
73,1997,Africa,39539857,226,0.571575158
79,1998,Africa,40258768,335,0.83211687
85,1999,Africa,40949960,453,1.106228187
91,2000,Africa,41624632,404,0.970579151
97,2001,Africa,42329909,503,1.188285096
103,2002,Africa,42960527,372,0.865911165
109,2003,Africa,43585945,352,0.807599789
115,2004,Africa,44188700,486,1.099828689
121,2005,Africa,44760949,565,1.262260995
127,2006,Africa,45286049,640,1.413238766
133,2007,Africa,45794999,550,1.201004503
139,2008,Africa,44909744,529,1.177918093
145,2009,Africa,46850028,491,1.048024987
151,2010,Africa,47425016,497,1.047970126
157,2011,Africa,48060808,481,1.000815467
163,2012,Africa,48746027,605,1.24112679
169,2013,Africa,49422630,694,1.404215033
175,2014,Africa,50147398,704,1.403861473
181,2015,Africa,50868257,593,1.165756476
187,2016,Africa,50868257,593,1.165756476
191,2017,Africa,50868257,593,1.165756476
197,2018,Africa,50868257,593,1.165756476
203,2019,Africa,50868257,593,1.165756476
209,2020,Africa,50868257,593,1.165756476
2,1985,Asia,180907543,32493,17.96110845
8,1986,Asia,182839965,34247,18.7305877
14,1987,Asia,173907610,27567,15.85152024
20,1988,Asia,124757700,23629,18.93991313
26,1989,Asia,260661000,59934,22.99308297
32,1990,Asia,349302868,68917,19.7298695
38,1991,Asia,352274793,68566,19.46378264
44,1992,Asia,410997224,76696,18.66095329
50,1993,Asia,361868769,83881,23.17995008
56,1994,Asia,359884800,91491,25.4223018
62,1995,Asia,363832406,93832,25.78989624
68,1996,Asia,381512230,96629,25.32789054
74,1997,Asia,446836345,96617,21.62245777
80,1998,Asia,449918662,101868,22.6414258
86,1999,Asia,452844927,107519,23.7430064
92,2000,Asia,456063508,106451,23.34126676
98,2001,Asia,400456616,99962,24.96200487
104,2002,Asia,459866342,102899,22.37584937
110,2003,Asia,464528205,101233,21.79264874
116,2004,Asia,377332212,90756,24.05201494
122,2005,Asia,382229299,87162,22.80358942
128,2006,Asia,453659698,87770,19.34710101
134,2007,Asia,436564648,83135,19.04299864
140,2008,Asia,439662475,79732,18.13482035
146,2009,Asia,536057952,81733,15.24704553
152,2010,Asia,542709558,76925,14.17424824
158,2011,Asia,535703516,73744,13.76582341
164,2012,Asia,453218598,68093,15.02431725
170,2013,Asia,455500757,67273,14.76902046
176,2014,Asia,461576961,63154,13.68222536
182,2015,Asia,429855528,58420,13.5906127
188,2016,Asia,429855528,58420,13.5906127
192,2017,Asia,429855528,58420,13.5906127
198,2018,Asia,429855528,58420,13.5906127
204,2019,Asia,429855528,58420,13.5906127
210,2020,Asia,429855528,58420,13.5906127
3,1985,Europe,255560980,34098,13.34241244
9,1986,Europe,260436630,34451,13.22816994
15,1987,Europe,323988863,46892,14.473337
21,1988,Europe,325166171,45848,14.09986773
27,1989,Europe,347701565,48865,14.05371874
33,1990,Europe,480093921,69297,14.43405071
39,1991,Europe,492203222,74167,15.06836946
45,1992,Europe,501335820,76635,15.28616088
51,1993,Europe,498679123,77474,15.53584187
57,1994,Europe,509819810,79700,15.63297432
63,1995,Europe,531422172,86298,16.23906652
69,1996,Europe,532391930,85819,16.11951556
75,1997,Europe,497163100,79426,15.97584374
81,1998,Europe,505412367,79141,15.65869875
87,1999,Europe,543283078,82671,15.21692895
93,2000,Europe,544626810,83553,15.3413307
99,2001,Europe,544264467,80963,14.87567257
105,2002,Europe,540561302,81038,14.9914542
111,2003,Europe,542304845,79939,14.74060222
117,2004,Europe,526138707,73685,14.00486203
123,2005,Europe,519876440,71543,13.76153918
129,2006,Europe,524990330,68440,13.03643059
135,2007,Europe,553751986,69986,12.63850998
141,2008,Europe,543546899,71806,13.21063557
147,2009,Europe,548349813,73550,13.41297075
153,2010,Europe,548431288,71975,13.12379537
159,2011,Europe,543877257,70955,13.04614214
165,2012,Europe,537120675,69416,12.92372519
171,2013,Europe,503294839,62501,12.41836696
177,2014,Europe,548674655,69019,12.57922147
183,2015,Europe,548674655,53485,9.748035473
189,2016,Europe,548674655,53485,9.748035473
193,2017,Europe,548674655,53485,9.748035473
199,2018,Europe,548674655,53485,9.748035473
