"","country","year","total_pop","total_suicides","suicide_rate","gdp"
"1","Albania",1987,2709600,73,2.69412459403602,796
"2","Albania",1988,2764300,63,2.2790579893644,769
"3","Albania",1989,2803100,68,2.42588562662766,833
"4","Albania",1992,2822500,47,1.6651904340124,251
"5","Albania",1993,2807300,73,2.60036333843907,437
"6","Albania",1994,2849300,50,1.75481697258976,697
"7","Albania",1995,2903400,88,3.03092925535579,835
"8","Albania",1996,2940200,89,3.0270049656486,1127
"9","Albania",1997,2977300,170,5.70987135995701,793
"10","Albania",1998,3012700,154,5.11169382945531,899
"11","Albania",1999,3029700,139,4.58791299468594,1127
"12","Albania",2000,2796300,54,1.9311232700354,1299
"13","Albania",2001,2799349,119,4.25098835479249,1451
"14","Albania",2002,2818839,133,4.7182545721838,1573
"15","Albania",2003,2843929,124,4.36016510960717,2021
"16","Albania",2004,2874991,146,5.07827676677944,2544
"17","Albania",2005,2783320,0,0,2931
"18","Albania",2006,2780176,0,0,3235
"19","Albania",2007,2770344,124,4.47597843444713,3863
"20","Albania",2008,2757059,160,5.80328531235639,4672
"21","Albania",2009,2745735,0,0,4387
"22","Albania",2010,2736025,96,3.5087398689705,4359
"23","Antigua and Barbuda",1985,62574,0,0,3850
"24","Antigua and Barbuda",1986,61270,0,0,4740
"25","Antigua and Barbuda",1987,60261,0,0,5595
"26","Antigua and Barbuda",1988,59564,0,0,6693
"27","Antigua and Barbuda",1989,59238,0,0,7407
"28","Antigua and Barbuda",1990,59334,1,1.68537432163684,7744
"29","Antigua and Barbuda",1991,60394,0,0,7976
"30","Antigua and Barbuda",1992,61741,0,0,8087
"31","Antigua and Barbuda",1993,63315,1,1.57940456447919,8453
"32","Antigua and Barbuda",1994,65044,0,0,9062
"33","Antigua and Barbuda",1995,66846,0,0,8636
"34","Antigua and Barbuda",1998,72225,0,0,10078
"35","Antigua and Barbuda",1999,73832,0,0,10378
"36","Antigua and Barbuda",2000,75326,2,2.65512572020285,11021
"37","Antigua and Barbuda",2001,76497,2,2.61448161365805,10468
"38","Antigua and Barbuda",2002,77588,0,0,10499
"39","Antigua and Barbuda",2003,78658,1,1.27132650207226,10878
"40","Antigua and Barbuda",2004,79722,2,2.50871779433532,11535
"41","Antigua and Barbuda",2005,80809,0,0,12649
"42","Antigua and Barbuda",2006,81973,0,0,14114
"43","Antigua and Barbuda",2007,83131,1,1.20292069143881,15775
"44","Antigua and Barbuda",2008,84273,0,0,16238
"45","Antigua and Barbuda",2009,85405,0,0,14335
"46","Antigua and Barbuda",2012,88703,0,0,13657
"47","Antigua and Barbuda",2013,89779,0,0,13287
"48","Antigua and Barbuda",2014,90837,0,0,14093
"49","Antigua and Barbuda",2015,91889,1,1.08826954260031,14853
"50","Antigua and Barbuda",2017,1093428,0,0,15383.5764
"51","Argentina",1985,27090800,1988,7.33828458369631,3264
"52","Argentina",1986,27244400,2284,8.38337419800032,4072
"53","Argentina",1987,27599400,2286,8.28278875627731,4026
"54","Argentina",1988,28308000,2354,8.31567048184259,4458
"55","Argentina",1989,28702000,2247,7.82872273709149,2670
