"","country","total_pop","total_suicides","suicide_rate","gdp"
"1","Albania",48796212,1970,4.03719862517197,1650.14077669903
"2","Antigua and Barbuda",73712,11,14.9229433470805,11328.3
"3","Argentina",2637721731,91931,3.48524254547304,8288.28938676471
"4","Armenia",138569230,2057,1.48445654204761,2128.36617494245
"5","Australia",1745159729,83051,4.75893401732284,35370.3874061235
"6","Austria",656205299,54691,8.33443437341094,35910.8054796429
"7","Azerbaijan",95131950,1656,1.74074009835812,1037
"8","Bahamas",2086278,93,4.457699309488,27327.4
"9","Bahrain",10942973,463,4.23102570023704,18946.5849056604
"10","Barbados",1807954,177,9.79007209254218,9655.3625
"11","Belarus",310637712,61699,19.8620443096748,3471.45738513636
"12","Belgium",561320475,66279,11.8076932789598,32862.3268174742
"13","Belize",3084315,348,11.2828942569096,4322.02158273381
"14","Bosnia and Herzegovina",4591557,318,6.92575525034318,5078.35714285714
"15","Brazil",12421546708,255979,2.06076590957178,6376.87089985294
"16","Bulgaria",468076579,38301,8.18263543154121,4077.33572165285
"17","Canada",2160590783,120826,5.5922667517924,32304.788055
"18","Chile",871931016,44599,5.11496886583973,8010.89449628499
"19","Colombia",2881272922,61592,2.13766629081589,3967.73456768473
"20","Costa Rica",335096621,8198,2.44645856933305,6158.50892524064
"21","Croatia",179603701,19645,10.9379705933788,10661.3130861818
"22","Cuba",635614026,45949,7.22907269513275,4811.09176184062
"23","Cyprus",28024073,487,1.73779164791642,29431.0695573043
"24","Denmark",238683356,16464,6.89784167438973,50410.8554147191
"25","Dominican Republic",256953300,1360,0.529279055766165,7829.9986755
"26","Ecuador",1168067402,25330,2.16853924325165,3605.89577305714
"27","Egypt",3318969750,225,0.00677921213352427,2658.72902875
"28","El Salvador",268632147,12182,4.53482583378228,2656.82060378176
"29","Estonia",85178680,7859,9.22648719139578,13093.2565798556
"30","Fiji",6278710,304,4.8417588963338,3910.31182795699
"31","Finland",335871404,36057,10.7353587029398,36602.4462228726
"32","France",1670756775,329127,19.6992766945386,31481.4666666667
"33","Georgia",251240891,4087,1.62672564315974,2335.12214508244
"34","Germany",6006675016,322286,5.36546424005836,36658.860159
"35","Greece",645790172,13988,2.16602862763913,17089.1641997253
"36","Grenada",343354,39,11.3585395830542,5558.15589709677
"37","Guatemala",1089649655,10478,0.961593476574817,2570.99312864752
"38","Guyana",15065415,3426,22.7408272523525,1738.3320610687
"39","Hungary",595892821,78727,13.2116040377671,10011.521514184
"40","Iceland",17031660,1262,7.40972987953024,42372.1401827891
"41","Ireland",159989631,13011,8.13240203047909,36181.976135977
"42","Israel",373307897,12145,3.2533466603842,24461.6356193617
"43","Italy",2438791834,136000,5.57653171148022,26761.1020640209
"44","Jamaica",12923463,184,1.42376698877073,3667.75806451613
"45","Japan",8246016844,846698,10.267963503083,36700.0253979412
"46","Jordan",123806992,26,0.0210004294426279,4263.44861083333
"47","Kazakhstan",1260516673,111220,8.82336603571447,5885.067898
"48","Kiribati",224477,53,23.610436703983,844.147058823529
"49","Kuwait",144238830,1200,0.831953503782581,29487.0467766667
"50","Kyrgyzstan",342396252,14237,4.15804785152847,780.608942236311
"51","Latvia",117743981,14008,11.8969987943588,10017.8101988278
"52","Lebanon",63600977,29,0.0455967838355691,7578.172368
"53","Lithuania",193755139,30739,15.8648695248284,10688.4364038816
"54","Luxembourg",24290067,2121,8.73196438692409,71305.3575325
"55","Maldives",2037569,26,1.27603040682303,5824.61535
"56","Malta",10263263,610,5.94352887575813,15752.4776876768
"57","Mauritius",80713823,4364,5.40675665926517,6065.34601959016
"58","Mexico",8748199943,137953,1.57693012161188,7387.04445448571
"59","Mongolia",2167589,423,19.5147696357566,4145
"60","Montenegro",12675458,567,4.47321114550654,6859.82702172881
"61","Netherlands",1301410451,58215,4.47322364402927,37514.758542723
"62","New Zealand",100871280,14383,14.2587662216639,22304.2852941176
"63","Nicaragua",254924118,3042,1.19329627336398,2031.64041917647
"64","Norway",123874324,16992,13.7171283372654,57225.9913294798
"65","Oman",4394742,33,0.750897322300149,20596.3636363636
"66","Panama",200889198,3818,1.90055017293663,7570.37429276667
"67","Paraguay",344735021,6074,1.76193297170118,2731.83471515821
"68","Peru",765713160,911,0.118974055506634,6834.1505065
"69","Philippines",4939730471,29581,0.598838340951255,1847.80359018868
"70","Poland",2233160641,153526,6.87483010318737,8910.38396703704
"71","Portugal",467658404,26117,5.58463181172726,14518.2570286585
"72","Qatar",17860900,574,3.21372383250564,72076.4146341463
"73","Romania",1274742559,78398,6.15010454044157,5505.80229571816
"74","Russian Federation",8891372928,1241820,13.9665719800073,6983.77790633333
"75","Saint Lucia",1527053,230,15.0616907206233,5748.41732283465
"76","San Marino",11596,4,34.494653328734,52311.5
"77","Serbia",348433423,26964,7.73863763350854,4855.41545431169
"78","Seychelles",1352762,112,8.27935734445527,11774.7572128986
"79","Singapore",344497555,11411,3.31236022850728,40830.0915490176
"80","Slovakia",97697100,14590,14.9339130844211,11030.1184913619
"81","Slovenia",129842108,12139,9.34904722896212,19473.4779442909
"82","South Africa",2225202638,8011,0.360012156340073,5734.81316584615
"83","Spain",3478204118,116344,3.34494457636658,21857.8831950239
"84","Sri Lanka",182525626,55641,30.4839387319784,904.272727272727
"85","Suriname",10384142,2166,20.858728626785,4539.76632302406
"86","Sweden",492492424,40257,8.17413589290056,42338.7888785067
"87","Switzerland",333403397,28264,8.47741812300731,64801.4865774436
"88","Tajikistan",89255250,177,0.19830766257447,848.6723799
"89","Thailand",4112900731,125445,3.05003714421037,3948.43541640659
"90","Trinidad and Tobago",28710345,4039,14.0680998434536,8769.95862068965
"91","Turkey",1484420790,13537,0.911938184320364,11757.689395875
"92","Turkmenistan",112447992,8624,7.66932325478965,2443.19277108434
"93","Ukraine",2892547456,338253,11.6939481597221,1989.91432116129
"94","United Arab Emirates",32976266,622,1.88620506639533,41916.7446808511
"95","United Kingdom",4120346205,152238,3.69478661320402,32920.9270886914
"96","Uruguay",204782548,15258,7.45083023383418,8704.06417038674
"97","Uzbekistan",1673523132,41816,2.49868072932021,1070.9537118
