"","year","age","total_pop","total_suicides","suicide_rate","gdp"
"1",1985,"15-24 years",487000,21,4.31211498973306,1729
"2",1985,"25-34 years",407000,33,8.10810810810811,1729
"3",1985,"35-54 years",683700,83,12.1398274096826,1729
"4",1985,"5-14 years",534100,3,0.561692566935031,1729
"5",1985,"55-74 years",505900,106,20.952757461949,1729
"6",1985,"75+ years",119700,41,34.2522974101921,1729
"7",1986,"15-24 years",490600,30,6.11496127191194,2132
"8",1986,"25-34 years",410000,29,7.07317073170732,2132
"9",1986,"35-54 years",688100,53,7.70236884173812,2132
"10",1986,"5-14 years",538000,2,0.371747211895911,2132
"11",1986,"55-74 years",509900,105,20.5922729947048,2132
"12",1986,"75+ years",121000,43,35.5371900826446,2132
"13",1987,"15-24 years",494500,25,5.05561172901921,2651
"14",1987,"25-34 years",413200,22,5.324298160697,2651
"15",1987,"35-54 years",693500,78,11.2472963229993,2651
"16",1987,"5-14 years",542200,2,0.368867576540022,2651
"17",1987,"55-74 years",513700,88,17.1306209850107,2651
"18",1987,"75+ years",121800,43,35.303776683087,2651
"19",1988,"15-24 years",498100,34,6.8259385665529,2934
"20",1988,"25-34 years",416400,42,10.0864553314121,2934
"21",1988,"35-54 years",698600,73,10.44947036931,2934
"22",1988,"5-14 years",546200,2,0.366166239472721,2934
"23",1988,"55-74 years",517600,77,14.8763523956723,2934
"24",1988,"75+ years",122700,40,32.599837000815,2934
"25",1989,"15-24 years",501800,44,8.76843363889996,2992
"26",1989,"25-34 years",419400,46,10.968049594659,2992
"27",1989,"35-54 years",703900,95,13.4962352606904,2992
"28",1989,"5-14 years",550300,2,0.363438124659277,2992
"29",1989,"55-74 years",521600,115,22.0475460122699,2992
"30",1989,"75+ years",123700,42,33.9531123686338,2992
"31",1990,"15-24 years",487000,40,8.2135523613963,3281
"32",1990,"25-34 years",440000,35,7.95454545454546,3281
"33",1990,"35-54 years",697000,89,12.7690100430416,3281
"34",1990,"5-14 years",539000,6,1.11317254174397,3281
"35",1990,"55-74 years",529000,99,18.7145557655955,3281
"36",1990,"75+ years",142000,46,32.3943661971831,3281
"37",1993,"15-24 years",517159,55,10.6350271386556,5180
"38",1993,"25-34 years",443121,59,13.3146476921653,5180
"39",1993,"35-54 years",716579,120,16.7462345393878,5180
"40",1993,"5-14 years",525602,6,1.14154816762493,5180
"41",1993,"55-74 years",540055,120,22.219959078242,5180
"42",1993,"75+ years",153712,58,37.7329030914958,5180
"43",1994,"15-24 years",525870,43,8.1769258562002,5984
"44",1994,"25-34 years",444373,66,14.852387521294,5984
"45",1994,"35-54 years",725979,112,15.4274434935446,5984
"46",1994,"5-14 years",524879,3,0.571560302469712,5984
"47",1994,"55-74 years",543237,130,23.9306232822875,5984
"48",1994,"75+ years",155958,52,33.3423101091319,5984
"49",1995,"15-24 years",531648,61,11.4737570723486,6555
"50",1995,"25-34 years",446673,67,14.9997873164485,6555
"51",1995,"35-54 years",735422,110,14.9573986092339,6555
"52",1995,"5-14 years",525574,2,0.380536327900543,6555
"53",1995,"55-74 years",546267,119,21.7842190723584,6555
"54",1995,"75+ years",158232,68,42.9748723393498,6555
"55",1996,"15-24 years",534328,57,10.6676049168301,6914
"56",1996,"25-34 years",449937,60,13.3352002613699,6914
"57",1996,"35-54 years",744737,107,14.3674881199672,6914
"58",1996,"5-14 years",527870,5,0.947202909807339,6914
"59",1996,"55-74 years",547264,123,22.4754414688341,6914
"60",1996,"75+ years",163142,41,25.1314805506859,6914
"61",1997,"15-24 years",534486,60,11.2257383729415,8012
"62",1997,"25-34 years",454113,73,16.0752940347447,8012
"63",1997,"35-54 years",754561,116,15.3731772514084,8012
"64",1997,"5-14 years",532125,2,0.375851538642236,8012
"65",1997,"55-74 years",548548,146,26.615720046377,8012
"66",1997,"75+ years",167829,59,35.154830214087,8012
